Tren,Hora,LTQV,PUIG,UALP,LMOL,TOSE,PLAN,RIFE,CAMP,RIPO,LFBE,SQBE,BORG,TORE,MANL,VICC,BTSV,BEHO,CENL,SMCE,FIGA,LGAR,LFVA,GRCA,PDVA,MSRS,SPMF,MCRI,MBCF,BTBV,BFAB,BLSG,BATR,BPCN,BSAN
78372,16:44,,,,,,,,,0.0,0.0,0.0,0.0,0.0,2.0,-2.0,-2.0,-2.0,-2.0,1.0,1.0,1.0,1.0,1.0,4.0,4.0,4.0,4.0,4.0,12.0,13.0,13.0,12.0,12.0,12.0
78330,17:28,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,3.0,3.0,3.0,3.0,3.0,3.0,6.0,6.0,6.0,6.0,6.0
78332,17:59,,,,,,,,,,,,,,,0.0,0.0,0.0,3.0,3.0,3.0,3.0,16.0,16.0,16.0,16.0,16.0,18.0,21.0,21.0,21.0,21.0,21.0,21.0,22.0
78334,18:59,,,,,,,,,,,,,,,0.0,0.0,9.0,9.0,9.0,9.0,9.0,9.0,15.0,15.0,13.0,13.0,13.0,15.0,15.0,13.0,13.0,13.0,13.0,13.0
78378,19:00,0.0,0.0,11.0,11.0,11.0,11.0,11.0,11.0,,,,,4.0,4.0,,,,,,,,,3.0,8.0,,,,,8.0,8.0,4.0,4.0,4.0,5.0
78376,19:12,,,,,,,,,0.0,2.0,2.0,2.0,2.0,-1.0,0.0,0.0,0.0,5.0,5.0,5.0,5.0,5.0,11.0,11.0,11.0,11.0,11.0,11.0,12.0,12.0,12.0,12.0,12.0,13.0
78336,20:05,,,,,,,,,,,,,,,,,,,,,,,0.0,8.0,8.0,9.0,9.0,9.0,9.0,9.0,9.0,2.0,2.0,2.0
78338,20:29,,,,,,,,,,,,,,,0.0,11.0,11.0,11.0,13.0,13.0,21.0,21.0,22.0,10.0,22.0,22.0,19.0,19.0,19.0,19.0,19.0,22.0,22.0,19.0
78380,21:14,,,,,,,,,0.0,0.0,0.0,0.0,0.0,3.0,3.0,14.0,14.0,14.0,14.0,14.0,14.0,19.0,19.0,19.0,27.0,27.0,27.0,27.0,27.0,27.0,27.0,32.0,32.0,31.0
78340,21:29,,,,,,,,,,,,,,,0.0,0.0,12.0,12.0,12.0,26.0,26.0,26.0,26.0,26.0,26.0,28.0,28.0,28.0,28.0,28.0,28.0,32.0,32.0,32.0
78342,22:29,,,,,,,,,,,,,,,0.0,18.0,18.0,18.0,17.0,31.0,31.0,31.0,31.0,34.0,34.0,34.0,34.0,34.0,34.0,34.0,33.0,33.0,33.0,33.0
