Tren,Hora,LTQV,PUIG,UALP,LMOL,TOSE,PLAN,RIFE,CAMP,RIPO,LFBE,SQBE,BORG,TORE,MANL,VICC,BTSV,BEHO,CENL,SMCE,FIGA,LGAR,LFVA,GRCA,PDVA,MSRS,SPMF,MCRI,MBCF,BTBV,BFAB,BLSG,BATR,BPCN,BSAN
78302,05:05,,,,,,,,,,,,,,,,,,,,,,,0.0,-1.0,-1.0,-1.0,-1.0,0.0,0.0,4.0,4.0,4.0,4.0,4.0
78300,05:29,,,,,,,,,,,,,,,0.0,0.0,0.0,5.0,5.0,5.0,0.0,5.0,7.0,7.0,7.0,7.0,7.0,7.0,5.0,5.0,5.0,7.0,6.0,6.0
78304,05:35,,,,,,,,,,,,,,,,,,,,,,,0.0,1.0,1.0,1.0,1.0,1.0,1.0,4.0,4.0,4.0,1.0,4.0
78352,05:44,,,,,,,,,2.0,0.0,0.0,2.0,-1.0,-1.0,-1.0,7.0,7.0,7.0,7.0,7.0,7.0,13.0,13.0,12.0,12.0,19.0,19.0,19.0,19.0,19.0,19.0,21.0,21.0,21.0
78306,05:59,,,,,,,,,,,,,,,0.0,0.0,1.0,1.0,1.0,1.0,1.0,3.0,8.0,8.0,8.0,8.0,8.0,8.0,6.0,8.0,6.0,6.0,6.0,6.0
78354,06:55,,,,,,,,,,,,,3.0,3.0,,,,,,,,,,,,,,,,15.0,15.0,7.0,7.0,7.0
78308,06:59,,,,,,,,,,,,,,,0.0,0.0,7.0,7.0,7.0,7.0,7.0,12.0,12.0,12.0,12.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,17.0
78358,07:08,,0.0,2.0,2.0,2.0,4.0,4.0,4.0,,,,,6.0,6.0,,,,,,,,,22.0,22.0,,,,,17.0,17.0,17.0,13.0,17.0,12.0
78356,07:15,,,,,,,,,1.0,1.0,1.0,1.0,-2.0,-2.0,-2.0,8.0,5.0,5.0,5.0,5.0,14.0,14.0,14.0,16.0,14.0,19.0,19.0,19.0,19.0,19.0,19.0,20.0,20.0,20.0
78310,07:29,,,,,,,,,,,,,,,0.0,5.0,5.0,5.0,5.0,7.0,7.0,12.0,12.0,12.0,11.0,11.0,13.0,13.0,13.0,11.0,13.0,15.0,15.0,13.0
78312,08:29,,,,,,,,,,,,,,,0.0,0.0,4.0,4.0,4.0,4.0,4.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,11.0,11.0,11.0,5.0,5.0,16.0
78350,08:30,0.0,0.0,2.0,17.0,17.0,17.0,22.0,22.0,,,,,14.0,14.0,,,,,,,,,15.0,15.0,,,,,19.0,19.0,19.0,19.0,18.0,17.0
78316,09:59,,,,,,,,,,,,,,,0.0,0.0,2.0,4.0,4.0,4.0,4.0,4.0,5.0,6.0,6.0,6.0,6.0,11.0,9.0,9.0,9.0,9.0,9.0,9.0
78314,10:05,,,,,,,,,,,,,,,,,,,,,,,0.0,-2.0,-2.0,-2.0,-2.0,-2.0,1.0,-2.0,-2.0,0.0,-2.0,-2.0
78360,10:26,,,,,,,0.0,0.0,0.0,0.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,21.0,21.0,21.0,21.0,28.0,28.0,28.0,28.0,28.0,28.0,33.0,33.0,33.0,33.0,33.0
78362,10:30,0.0,0.0,-10.0,-10.0,-10.0,7.0,7.0,11.0,,,,,27.0,27.0,,,,,,,,,19.0,19.0,,,,,15.0,17.0,17.0,17.0,17.0,15.0
78318,11:28,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,8.0,8.0,8.0,8.0,5.0
78320,12:28,,,,,,,,,,,,,,,,,,,,,0.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,11.0,11.0,11.0,9.0,9.0,9.0
78364,12:44,,,,,,,,,0.0,0.0,14.0,14.0,14.0,0.0,12.0,7.0,7.0,7.0,7.0,7.0,7.0,12.0,12.0,12.0,12.0,12.0,12.0,11.0,11.0,11.0,11.0,11.0,12.0,12.0
78322,12:59,,,,,,,,,,,,,,,0.0,0.0,6.0,6.0,6.0,6.0,15.0,15.0,13.0,13.0,13.0,20.0,20.0,20.0,20.0,19.0,19.0,19.0,19.0,21.0
78368,13:30,0.0,0.0,3.0,3.0,3.0,5.0,5.0,18.0,,,,,10.0,10.0,,,,,,,,,15.0,15.0,,,,,12.0,12.0,12.0,12.0,14.0,11.0
78366,13:44,,,,,,,,,2.0,2.0,2.0,2.0,2.0,-1.0,-1.0,-1.0,8.0,10.0,10.0,7.0,7.0,14.0,14.0,14.0,8.0,14.0,15.0,15.0,15.0,13.0,13.0,13.0,13.0,15.0
78324,13:59,,,,,,,,,,,,,,,0.0,0.0,6.0,6.0,6.0,6.0,6.0,6.0,10.0,10.0,8.0,10.0,10.0,11.0,11.0,11.0,11.0,11.0,12.0,10.0
78326,15:28,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,4.0,4.0,4.0,4.0,4.0,7.0,7.0,7.0,7.0,9.0,9.0
78370,15:44,,,,,,,,,0.0,0.0,0.0,0.0,35.0,35.0,35.0,44.0,44.0,44.0,44.0,53.0,53.0,53.0,53.0,53.0,57.0,57.0,57.0,57.0,57.0,66.0,66.0,66.0,66.0,66.0
78328,15:59,,,,,,,,,,,,,,,1.0,0.0,0.0,4.0,4.0,4.0,4.0,4.0,12.0,12.0,12.0,12.0,12.0,11.0,11.0,11.0,11.0,12.0,11.0,11.0
78374,16:30,0.0,0.0,4.0,4.0,4.0,3.0,3.0,3.0,,,,,2.0,2.0,,,,,,,,,3.0,8.0,,,,,11.0,11.0,11.0,11.0,11.0,11.0
