Tren,Hora,LHOS,BSAN,BPCN,BATR,BLSG,BFAB,BTBV,MBCF,MCRI,SPMF,MSRS,PDVA,GRCA,LFVA,LGAR,FIGA,SMCE,CENL,BEHO,BTSV,VICC,MANL,TORE,BORG,SQBE,LFBE,RIPO,CAMP,RIFE,PLAN,TOSE,LMOL,UALP,PUIG
78357,09:24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.0,23.0,23.0,23.0,23.0,27.0,27.0,27.0,27.0,27.0,28.0,28.0,29.0,29.0,29.0,29.0,31.0,31.0,31.0,,,,,,,,
78315,09:54,0.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,10.0,7.0,7.0,7.0,7.0,,,,,,,,,,,,,,,,,,,,
78359,10:24,0.0,0.0,0.0,3.0,1.0,1.0,1.0,2.0,2.0,2.0,8.0,8.0,8.0,8.0,8.0,8.0,12.0,12.0,12.0,12.0,16.0,14.0,14.0,14.0,14.0,14.0,,,,,,,,
78317,10:54,0.0,0.0,8.0,8.0,8.0,8.0,7.0,0.0,7.0,7.0,7.0,8.0,8.0,8.0,,,,,,,,,,,,,,,,,,,,
78361,11:24,0.0,0.0,7.0,7.0,7.0,7.0,,,,,7.0,7.0,,,,,,,,,7.0,6.0,,,,,7.0,4.0,4.0,4.0,5.0,5.0,5.0,5.0
78319,11:54,0.0,0.0,0.0,0.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,8.0,8.0,8.0,,,,,,,,,,,,,,
78363,12:24,0.0,0.0,0.0,0.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,7.0,7.0,7.0,7.0,7.0,17.0,17.0,17.0,17.0,17.0,20.0,20.0,20.0,20.0,20.0,,,,,,,,
78321,12:54,0.0,0.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,17.0,16.0,16.0,16.0,16.0,24.0,24.0,24.0,24.0,24.0,19.0,,,,,,,,,,,,,,
78365,13:24,0.0,0.0,0.0,0.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,1.0,1.0,1.0,1.0,1.0,9.0,9.0,9.0,9.0,9.0,9.0,5.0,5.0,,,,,,,,
78323,13:54,0.0,0.0,0.0,9.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,9.0,9.0,9.0,,,,,,,,,,,,,,,,,,,,
78367,14:24,0.0,0.0,0.0,0.0,9.0,9.0,,,,,9.0,9.0,,,,,,,,,36.0,36.0,,,,,38.0,38.0,38.0,30.0,30.0,30.0,28.0,28.0
78325,14:54,0.0,0.0,0.0,0.0,10.0,10.0,10.0,10.0,10.0,8.0,19.0,13.0,19.0,19.0,19.0,27.0,27.0,27.0,27.0,28.0,,,,,,,,,,,,,,
78369,15:24,0.0,0.0,0.0,14.0,14.0,14.0,14.0,13.0,12.0,12.0,12.0,14.0,13.0,13.0,37.0,37.0,37.0,37.0,37.0,21.0,41.0,41.0,41.0,49.0,49.0,49.0,,,,,,,,
78327,15:54,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,11.0,,,,,,,,,,,,,,,,,,,,
78371,16:24,0.0,0.0,0.0,0.0,0.0,0.0,,,,,9.0,9.0,,,,,,,,,24.0,33.0,,,,,43.0,43.0,43.0,34.0,34.0,46.0,46.0,
78329,16:54,0.0,6.0,7.0,7.0,7.0,7.0,7.0,5.0,5.0,3.0,3.0,3.0,13.0,13.0,13.0,13.0,13.0,13.0,20.0,20.0,,,,,,,,,,,,,,
78373,17:24,2.0,2.0,2.0,2.0,2.0,2.0,3.0,3.0,7.0,7.0,7.0,7.0,7.0,17.0,17.0,17.0,31.0,31.0,31.0,31.0,31.0,38.0,38.0,38.0,38.0,38.0,,,,,,,,
78375,17:54,7.0,5.0,5.0,5.0,5.0,5.0,,,,,2.0,2.0,,,,,,,,,18.0,18.0,,,,,23.0,23.0,16.0,16.0,16.0,23.0,23.0,
78331,18:24,5.0,5.0,5.0,6.0,6.0,2.0,5.0,5.0,5.0,5.0,3.0,3.0,5.0,5.0,13.0,13.0,13.0,13.0,13.0,13.0,,,,,,,,,,,,,,
78377,18:45,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,9.0,9.0,,,,,,,,,,,,
78333,18:54,0.0,0.0,0.0,0.0,23.0,23.0,23.0,22.0,22.0,22.0,22.0,22.0,26.0,26.0,26.0,26.0,37.0,37.0,37.0,37.0,,,,,,,,,,,,,,
78335,19:24,0.0,0.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,9.0,11.0,11.0,11.0,,,,,,,,,,,,,,
78379,19:54,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,-1.0,-1.0,-1.0,15.0,15.0,15.0,15.0,15.0,14.0,18.0,18.0,18.0,18.0,18.0,,,,,,,,
78337,20:24,0.0,0.0,0.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,0.0,0.0,0.0,0.0,7.0,7.0,7.0,,,,,,,,,,,,,,
78381,20:54,0.0,0.0,0.0,0.0,-1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,4.0,4.0,4.0,4.0,4.0,12.0,12.0,12.0,12.0,19.0,19.0,19.0,19.0,19.0,,,,,,,,
78339,21:24,0.0,0.0,0.0,0.0,0.0,2.0,2.0,2.0,1.0,1.0,2.0,1.0,4.0,4.0,4.0,4.0,4.0,4.0,10.0,10.0,,,,,,,,,,,,,,
78341,21:54,0.0,0.0,0.0,0.0,0.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,,,,,,,,,,,,,,,,,,,,,,
78343,22:24,0.0,0.0,0.0,0.0,0.0,4.0,5.0,5.0,5.0,5.0,5.0,5.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,,,,,,,,,,,,,,
