Tren,Hora,LHOS,BSAN,BPCN,BATR,BLSG,BFAB,BTBV,MBCF,MCRI,SPMF,MSRS,PDVA,GRCA,LFVA,LGAR,FIGA,SMCE,CENL,BEHO,BTSV,VICC,MANL,TORE,BORG,SQBE,LFBE,RIPO,CAMP,RIFE,PLAN,TOSE,LMOL,UALP,PUIG
78303,04:39,,,,0.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,3.0,,,,,,,,,,,,,,,,,,,,,,
78301,04:54,0.0,0.0,0.0,0.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,2.0,2.0,2.0,2.0,2.0,9.0,9.0,9.0,9.0,,,,,,,,,,,,,,
78305,05:24,0.0,0.0,0.0,0.0,0.0,-1.0,-1.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,7.0,7.0,7.0,7.0,,,,,,,,,,,,,,
78351,05:54,0.0,0.0,4.0,3.0,3.0,2.0,,,,,8.0,8.0,,,,,,,,,22.0,22.0,,,,,22.0,22.0,14.0,14.0,14.0,14.0,15.0,15.0
78307,06:24,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,4.0,4.0,,,,,,,,,,,,,,,,,,,,,,
78353,06:54,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,9.0,9.0,9.0,7.0,9.0,8.0,8.0,8.0,8.0,8.0,5.0,5.0,,,,,,
78309,07:24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,-1.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,6.0,6.0,6.0,6.0,,,,,,,,,,,,,,
78311,07:54,0.0,0.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,7.0,6.0,8.0,6.0,6.0,6.0,12.0,12.0,12.0,12.0,14.0,,,,,,,,,,,,,,
78355,08:24,0.0,0.0,0.0,0.0,0.0,0.0,,,,,22.0,22.0,,,,,,,,,33.0,33.0,,,,,30.0,36.0,36.0,36.0,29.0,29.0,29.0,30.0
78313,08:54,0.0,17.0,18.0,17.0,17.0,17.0,17.0,20.0,20.0,20.0,20.0,20.0,,,,,,,,,,,,,,,,,,,,,,
