Tren,Hora,LHOS,BSAN,BPCN,BATR,BLSG,BFAB,BTBV,MBCF,MCRI,SPMF,MSRS,PDVA,GRCA,LFVA,LGAR,FIGA,SMCE,CENL,BEHO,BTSV,VICC,MANL,TORE,BORG,SQBE,LFBE,RIPO,CAMP,RIFE,PLAN,TOSE,LMOL,UALP,PUIG
78373,17:24,0.0,0.0,0.0,0.0,1.0,1.0,3.0,3.0,3.0,3.0,3.0,3.0,2.0,2.0,2.0,2.0,2.0,2.0,6.0,6.0,3.0,6.0,6.0,9.0,9.0,9.0,,,,,,,,
78375,17:54,0.0,0.0,0.0,0.0,3.0,3.0,,,,,2.0,2.0,,,,,,,,,12.0,12.0,,,,,16.0,11.0,11.0,11.0,6.0,6.0,6.0,
78331,18:24,0.0,0.0,0.0,0.0,0.0,1.0,1.0,3.0,3.0,3.0,3.0,3.0,4.0,4.0,4.0,4.0,5.0,11.0,11.0,11.0,,,,,,,,,,,,,,
78333,18:54,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,5.0,5.0,5.0,5.0,14.0,14.0,14.0,,,,,,,,,,,,,,
78335,19:24,0.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,23.0,23.0,21.0,23.0,23.0,28.0,28.0,28.0,28.0,29.0,29.0,,,,,,,,,,,,,,
78379,19:54,0.0,0.0,0.0,0.0,6.0,6.0,6.0,6.0,6.0,8.0,8.0,7.0,11.0,11.0,11.0,11.0,11.0,16.0,16.0,16.0,16.0,28.0,28.0,68.0,68.0,68.0,,,,,,,,
78337,20:24,1.0,1.0,1.0,-1.0,-1.0,-1.0,-1.0,1.0,1.0,1.0,1.0,1.0,1.0,8.0,8.0,8.0,8.0,8.0,8.0,11.0,,,,,,,,,,,,,,
78381,20:54,1.0,1.0,0.0,0.0,0.0,1.0,1.0,2.0,2.0,2.0,0.0,0.0,0.0,0.0,4.0,4.0,4.0,4.0,4.0,4.0,5.0,5.0,22.0,22.0,22.0,22.0,,,,,,,,
78339,21:24,0.0,0.0,0.0,0.0,0.0,7.0,7.0,3.0,4.0,4.0,4.0,2.0,2.0,4.0,6.0,6.0,6.0,6.0,6.0,6.0,,,,,,,,,,,,,,
78343,22:24,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,1.0,1.0,1.0,1.0,1.0,5.0,5.0,5.0,5.0,5.0,5.0,,,,,,,,,,,,,,
