Tren,Hora,LHOS,BSAN,BPCN,BATR,BLSG,BFAB,BTBV,MBCF,MCRI,SPMF,MSRS,PDVA,GRCA,LFVA,LGAR,FIGA,SMCE,CENL,BEHO,BTSV,VICC,MANL,TORE,BORG,SQBE,LFBE,RIPO,CAMP,RIFE,PLAN,TOSE,LMOL,UALP,PUIG
78305,05:24,0.0,0.0,0.0,0.0,-1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,6.0,5.0,5.0,,,,,,,,,,,,,,
78351,05:54,0.0,0.0,0.0,0.0,0.0,-1.0,,,,,-1.0,-1.0,,,,,,,,,6.0,6.0,,,,,15.0,15.0,28.0,28.0,35.0,35.0,35.0,46.0
78353,06:54,0.0,0.0,0.0,0.0,3.0,3.0,4.0,4.0,4.0,4.0,4.0,12.0,12.0,12.0,12.0,12.0,18.0,18.0,18.0,18.0,18.0,21.0,21.0,21.0,21.0,21.0,20.0,20.0,,,,,,
78309,07:24,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,7.0,7.0,7.0,7.0,7.0,15.0,15.0,15.0,13.0,,,,,,,,,,,,,,
78311,07:54,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,5.0,5.0,5.0,8.0,8.0,8.0,,,,,,,,,,,,,,
78355,08:24,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,,,,,,,,,9.0,9.0,,,,,23.0,23.0,23.0,23.0,16.0,16.0,16.0,15.0
78391,08:54,0.0,0.0,0.0,0.0,0.0,0.0,,,,,4.0,4.0,,,,,,,,,8.0,8.0,,,,,,,,,,,,
78357,09:24,0.0,0.0,0.0,0.0,0.0,7.0,7.0,7.0,7.0,7.0,7.0,10.0,11.0,11.0,11.0,11.0,11.0,17.0,17.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,,,,,,,,
78359,10:24,0.0,0.0,0.0,0.0,12.0,12.0,12.0,11.0,11.0,12.0,12.0,12.0,14.0,14.0,14.0,14.0,14.0,14.0,16.0,16.0,16.0,16.0,24.0,24.0,24.0,24.0,,,,,,,,
78361,11:24,0.0,0.0,0.0,2.0,2.0,2.0,,,,,0.0,-1.0,,,,,,,,,3.0,4.0,,,,,2.0,2.0,2.0,-2.0,-2.0,-2.0,8.0,8.0
78319,11:54,5.0,0.0,5.0,5.0,5.0,5.0,5.0,9.0,9.0,4.0,9.0,9.0,16.0,16.0,16.0,16.0,16.0,16.0,22.0,22.0,,,,,,,,,,,,,,
78363,12:24,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,-1.0,-1.0,-1.0,-1.0,-1.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,13.0,,,,,,,,
78321,12:54,0.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,4.0,4.0,4.0,4.0,4.0,13.0,13.0,13.0,13.0,13.0,13.0,,,,,,,,,,,,,,
78365,13:24,0.0,0.0,0.0,0.0,0.0,12.0,0.0,12.0,12.0,12.0,12.0,12.0,23.0,23.0,23.0,23.0,35.0,35.0,35.0,35.0,37.0,39.0,39.0,39.0,39.0,39.0,37.0,37.0,,,,,,
78367,14:24,0.0,24.0,0.0,0.0,24.0,24.0,,,,,23.0,23.0,,,,,,,,,85.0,85.0,,,,,90.0,93.0,93.0,93.0,90.0,90.0,90.0,90.0
78325,14:54,0.0,10.0,10.0,10.0,12.0,12.0,12.0,12.0,13.0,13.0,13.0,13.0,13.0,13.0,20.0,20.0,20.0,20.0,31.0,31.0,,,,,,,,,,,,,,
78369,15:24,0.0,12.0,12.0,12.0,12.0,12.0,11.0,0.0,11.0,6.0,6.0,7.0,7.0,7.0,7.0,12.0,12.0,12.0,12.0,13.0,13.0,13.0,13.0,13.0,13.0,21.0,,,,,,,,
78371,16:24,0.0,0.0,0.0,0.0,19.0,19.0,,,,,22.0,22.0,,,,,,,,,27.0,27.0,,,,,36.0,42.0,41.0,42.0,40.0,40.0,40.0,
78329,16:54,0.0,0.0,0.0,4.0,4.0,4.0,2.0,2.0,2.0,2.0,2.0,3.0,2.0,2.0,2.0,2.0,2.0,11.0,11.0,9.0,,,,,,,,,,,,,,
