Tren,Hora,LHOS,BSAN,BPCN,BATR,BLSG,BFAB,BTBV,MBCF,MCRI,SPMF,MSRS,PDVA,GRCA,LFVA,LGAR,FIGA,SMCE,CENL,BEHO,BTSV,VICC,MANL,TORE,BORG,SQBE,LFBE,RIPO,CAMP,RIFE,PLAN,TOSE,LMOL,UALP,PUIG
78303,04:36,,,5.0,5.0,5.0,3.0,3.0,3.0,3.0,3.0,3.0,1.0,,,,,,,,,,,,,,,,,,,,,,
78301,04:54,0.0,0.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,2.0,2.0,2.0,2.0,-1.0,7.0,7.0,7.0,7.0,,,,,,,,,,,,,,
78305,05:24,0.0,0.0,0.0,2.0,2.0,0.0,2.0,0.0,2.0,2.0,2.0,1.0,1.0,0.0,1.0,13.0,13.0,13.0,13.0,15.0,,,,,,,,,,,,,,
78351,05:54,0.0,0.0,5.0,5.0,0.0,7.0,,,,,7.0,7.0,,,,,,,,,23.0,23.0,,,,,23.0,23.0,16.0,16.0,16.0,17.0,17.0,17.0
78307,06:24,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,11.0,12.0,12.0,12.0,,,,,,,,,,,,,,,,,,,,,,
78353,06:54,0.0,0.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,3.0,3.0,3.0,3.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,7.0,7.0,,,,,,
78309,07:24,0.0,0.0,5.0,5.0,5.0,5.0,5.0,3.0,14.0,14.0,14.0,13.0,13.0,13.0,18.0,18.0,18.0,18.0,18.0,28.0,,,,,,,,,,,,,,
78311,07:54,0.0,3.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,6.0,6.0,6.0,6.0,6.0,6.0,12.0,12.0,12.0,12.0,12.0,,,,,,,,,,,,,,
78355,08:24,0.0,13.0,13.0,13.0,12.0,12.0,,,,,14.0,14.0,,,,,,,,,21.0,21.0,,,,,18.0,18.0,18.0,9.0,9.0,9.0,9.0,8.0
78313,08:54,0.0,0.0,15.0,15.0,15.0,15.0,23.0,23.0,23.0,23.0,23.0,23.0,,,,,,,,,,,,,,,,,,,,,,
78357,09:24,0.0,0.0,0.0,0.0,0.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,28.0,28.0,28.0,28.0,28.0,24.0,24.0,,,,,,,,
78315,09:54,0.0,9.0,9.0,9.0,11.0,11.0,8.0,8.0,16.0,16.0,16.0,16.0,16.0,16.0,,,,,,,,,,,,,,,,,,,,
78359,10:24,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,3.0,3.0,3.0,16.0,16.0,16.0,16.0,18.0,20.0,20.0,20.0,20.0,20.0,20.0,,,,,,,,
78317,10:54,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
78361,11:24,0.0,0.0,0.0,0.0,-1.0,1.0,,,,,1.0,1.0,,,,,,,,,10.0,6.0,,,,,8.0,5.0,5.0,5.0,6.0,6.0,6.0,5.0
78319,11:54,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,
78363,12:24,0.0,0.0,0.0,0.0,0.0,0.0,27.0,27.0,27.0,26.0,26.0,26.0,30.0,30.0,30.0,30.0,30.0,32.0,36.0,36.0,36.0,35.0,36.0,35.0,35.0,35.0,,,,,,,,
78321,12:54,0.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,19.0,19.0,19.0,19.0,19.0,19.0,26.0,26.0,26.0,26.0,26.0,26.0,,,,,,,,,,,,,,
78365,13:24,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,9.0,9.0,9.0,12.0,9.0,13.0,13.0,13.0,13.0,,,,,,,,
78323,13:54,0.0,0.0,0.0,8.0,8.0,8.0,8.0,8.0,22.0,22.0,22.0,13.0,22.0,22.0,,,,,,,,,,,,,,,,,,,,
78367,14:24,0.0,10.0,12.0,12.0,12.0,12.0,,,,,11.0,11.0,,,,,,,,,49.0,51.0,,,,,57.0,64.0,64.0,64.0,64.0,58.0,58.0,58.0
78325,14:54,0.0,0.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,13.0,13.0,13.0,14.0,14.0,22.0,22.0,22.0,30.0,36.0,36.0,,,,,,,,,,,,,,
